src,dest
/wiki/Gaiwan,/wiki/Gawain
/wiki/Gaiwan,/wiki/Traditional_Chinese_characters
/wiki/Gaiwan,/wiki/Simplified_Chinese_characters
/wiki/Gaiwan,/wiki/Standard_Chinese
/wiki/Gaiwan,/wiki/Hanyu_Pinyin
/wiki/Gaiwan,/wiki/Chinese_language
/wiki/Gaiwan,/wiki/Steeping
/wiki/Gaiwan,/wiki/Infusion
/wiki/Gaiwan,/wiki/Tea
/wiki/Gaiwan,/wiki/Ming_dynasty
/wiki/Gaiwan,/wiki/Lid
/wiki/Gaiwan,/wiki/Saucer
/wiki/Gaiwan,/wiki/Lu_Yu
/wiki/Gaiwan,/wiki/Chawan
/wiki/Gaiwan,/wiki/Porcelain
/wiki/Gaiwan,/wiki/Glass
/wiki/Gaiwan,/wiki/Yixing_clay
/wiki/Gaiwan,/wiki/Jade
/wiki/Gaiwan,/wiki/Jingdezhen_porcelain
/wiki/Gaiwan,/wiki/Green_tea
/wiki/Gaiwan,/wiki/White_tea
/wiki/Gaiwan,/wiki/Oolong
/wiki/Gaiwan,/wiki/Chinese_tea
/wiki/Gaiwan,/wiki/Craig_Clunas
/wiki/Gaiwan,/wiki/Gaiwan
